sequence,stack_depth,count
((()()))(()((((()(()(((((((((()())()()()(()))))((())((()()((((())()()(()))))()(())(()))((()()))))(()()(()))(((()()))()()(()(()))())(())())()))()(()()()()()()((((()))()))))())()((()(((((()(()())(()))))))))((()()))(()(())(((()())()()((())())))))())((()))()(()))(()()((((())()))((((()))()(())()()((()())()((()()()()()())))))))())()(())()))(()()())()()((((((()(())((()()(((((()(()(()()((((((((((((((((((((()()()()()()()())))()))()()()(((()()()))()((((())()())((())(())))())())()))(((()))))))))))))))))))))))))))))))),36,0
()(())(()(()))()()()(()(()()))(((()))())(())()()(())()()(()())((()())(((())(())()(((((()()())))(())(()((()((()((()(((((())()()))())()))))(()()(())(()()))()()))(((()()())())))(())((())(())())())(((()()()))(()))(()))))))()()(((((())))))()(())()()((()))()()((()))(())()()(())()()((())(()))(((()((())(())))()(()())()))((()())((()())))(()())((((()(((()()((()(((()()())(())(()(((((((((((((((((((((((((((()()()()()()()()())(())()())()((())))()()))(())))()(())))(((()(()()()((()))())))))(())))))))))))))))))))))))))))))),40,0
()(((()))(()()(()))))()())(())(()()))())))(()))))))())(()()(((((())((())))()())((()))()((()((())())()()()())((((()))())))()()((((()())())(())))()()))()(())(()(()(((())())))))(()((()(()((()(())())))(((()(())(())(())())(())))()()(()((())))())())))()()))())(()))())()(()())((()))(())(((((()))))(())))(())()(())))())()())((()(()))(()((())))))))))()))(((()((()))))))(((((((()(((())()()((()(()()((()()((()((()(()))(()(()))()))()))))(()))(((((((()))(((((()(((((((()))((()()(())())))()()(((((()())()(()())((((((()((())(),-4,4
((()((()))()(()))()(((()))((((()((((((())()((((()((()))())()())))((())))((((()())(()())())()))(()(())(()()(((((((((((((((((((()()()()()()))()()((())(())(()()()()())))()()()))(()()))))))((()(((()(((((()))()((())))((())()())())(())(())(())()())())))(((())(((()()))))()(()))((()))(())))()))((())))(()))()())(()))((()()()(()((()(((((()(()))(()(((((()(())())))()((())()((()(())))))(((()((())()()))())(()(()))())((()))()()((()((()(())(())))()()))(()))((((()())()))))))(((((((())())(((())()))))))))))))))))))))))))))))),32,0
()(()()()()())()(())()()()()(())()()(())()()(())(()())(())()(())()(())()()(()())()()()()()(())(()()()()())(())()()(())(())(()()())()()(()()())()(()())()(()()()())()()(())(()())()(()())()(()())(()()())(())(())()()()(())()(()()())()(())(())()(())()(()()())(()()()())(())(())(())(())(())()(())(()())()()(()()()())()()(())(()())()(()()())()(())()()()(()())(()())(())(())(())(())()()(())()(()()()()()())(())()()()()(()()())()(()())(()())()()()(()()())()()(())()(()())()()(())()()()()()(()())()()()()()(())()()(()())(),2,0
((((()(())(((()()))(()()((()(())())(())))))()(()()())((()()(((()()(())((()())((((()((()())))())(((()(())()((()))()()))))()(()()()())))((((()))))(()()(())())()(())))))())))((((())(()()()())))())()())((())))(()()(()((((())((()())(()((()()))()(())(()(((()))))()))))()()())((((()()(((()()))()(())((()))())()()())())((()((())()(((()(((()(()())))()()((()(()(()(()(()))()()))(())(()))())(()()))())()))))())((()()(((((()))()))(())())())()))(((()())))(()(())()()())()()()())()())))()()())(((()()))((()))(())()())((())((((,-17,2
())))))((())))())()))((())()((((((()(()(()((()((())((((()))))()(()()(()()())))((()(()(()((())()()())))((())())(((()()))(()))())(((((())))(((()))())()())(()()))))(())()))))())()))((((((()((()(()(()))()))))()))()())(()())()()()))(((()()((()((()(((()))))()(()(((()()((((())()(()))()())))()()(())(())()()))(())))()((()()((()))(()))()())))))()))((((())()(((((()(()()))((()()))(((()()())((((((()())(()()(()(()()))((()))())))())()))())()((()(())))(((())))()(()((()))()))(())(()())(()(())))))(()())(())()((((((((())(()(),-1,4
(()))()(((((())())))()(()(())(()(((()(((()()(())()())()()(()))(()()(()()))()())(())((((((()())))(()(()(((()((()((()()()())(()(()(()(())((())))))()))()(())(()))(((()((()(())(())(()))))(()((())()()())()()(()((()(()))))()(()))()))))))((((()()()(()(()))(((())())())())())()))()()(()(((())))())))((((()((((((())()))()))()(()))))))(()(((())(((())()()()))(((((((()())((((()))(())))))))(((())()()(())((()((()()))(()((()))(((()())))(())((())))()(((()()))()))((()()()))))))()())))()(())()())))(((())(((()))))())(()))()())(,-2,4
(()))())((()(()())(())()(())))()(()((()()())(()(()()(()()()()())))())((((()(())((()())())(()(())))())((()())))())((()()((()(()(((()())())))((((())())))((((((()(())))(())))()))()())())()())))))))()((()))))))(()()((((()))((())(())))()(())()(()))))(((()))))(()()(())()))())))()(((())((())(()()(((())))))(()((()()(()(())))((()()(((()())(()()(()()()(((((((())())))(((((()())((((()(())((()()()())))(((()((()()(()())())(()()(()((()()(())(()((()(()))((((())())())))(()()())))))(()))))(()(()(()()())))((())))))))(()(())((,-2,4
(()()(((((())()))(())()()()())(()()(())))))()()))((())(((((()())()(()(()()))()(())())(((()))))((((()))((()(((()(()()()())())))))))(((((()(())))((()(((()(((()()))((())((((((()())())))()()())()))((())((()()))())(()))))())()(())(((())()(()()()(())(()(()()()(()()))(()()(()()())))()(()(()))((()((((()())))(()()()(())()(())(()()()))()))()))))))())(()))))()(())(((((()(()(())()(((())(()((()())())))))(()))(())(()))((())(((())()()()))())()(()(()))))))()((()())()((((()())((())())(()))))(()())(()())((()))))))((())()(()(,-7,-2
()()(()(((((()(((((((()))(((()))((((())))((()())((())()(((()((()))()()(()(()((()))(()()((()))))(()()((())))()(()()(())())(()())(())(()())())((((())()()())()()()))))()))(()()((())(((())(()(()))))(()(()()()())((())((())((())()((())()))(()))()))(((()())(())((()())(())())()())))(()(())((()((())((((((()()()(()))))))()))()()(((())(()()(())))(())(()))())))()))))((()))((()()(()))()))))))()())())()))))(())()(()))())))())()()()(()((((((()(((()())))()()(()))))()()()()(((())(())))()())))(()()((()()))(())))))((()((())((,-27,-2
((((()(())(()((((()))))))()((()()))()))((())(()))()(()(())())()((())(((())))(((()(())))())))(())(())()((((((((((((()()()(()())))))((()((())))(()())()()))()()())))((()))()((((())()))()()))(())())()))(())(()())((()()(())(()(((()()()((()()(()()(()()(((()))())))))()()((()())))))((()())(())(())))(((((())))(()(()(())))))((()(()((((((())((()))())(()()(()))()))(())))))(())))())(((((()(()))))))()()(()(()(())()())()(((((()((())())(((((((()())())(())))((()))()()))))()(())((()())()(((()((((()())())())())((()))))))))))),14,0
()(()())(((()(()()()()(()())(((((((((())))()()))(()()))()(())(()()))())((((((()(((()(((()((((((((())))()))()(((((()(()(((((((((((()()()()()()()()()()()()()()()))((())())(()()())((()())(()())(())(())(()))()(())(()()(()()()))()(()(())))()()))((((()())()))(((()))((()()))()()(((()()()()()))))))())()())()(()))(((()))()))))()(()())))))()))())))))())()(((((())))()(((((()())(()))))()()))()))((()((()(()()())(()()()(()()((())()))())))))()()()))((())())()()((((()))())()))()())(()()(()))()())(())(((()))))())((()))))))),38,0
((()())((()))(()()(((())())))(()(()((((()((()))(()(()()(()))()((()(()(((())()))))((((()))(()()()()())()()(()))))(()))))()()(())))(()())))))(())(((()(((()(((()(()))()(()(()))(()())((()))(())()))))())((())())())))())((()())(())))())(())())))((((())(()))))((((())))()))(((()))(()((()()()))())()(())(()))(())(()(())))))(()))))()(((()()((())()(()(((((((())))()(()()()())()((())))))()((()((()(())((()((()()()(((((())((()()()(())()))))()()(((()))(((())()))(())))))()()())()()((())()(())())(()()))))(((())())()(()(())()(,-15,-2
((()(()))())(()(())()(((((()(())()(())))()()()())()))(()))()()()()(((()(())()(()))))(())(()(()))()(()((())))(()(()(()(((((()))))()())(()()()))(()((()(()(()(((())())()((()((((()((()()(())(()()))))()(((((((()))))))())))))((())())))())((((())(()(())()(()))(()((())))())((((()))((()))(())()()(()((()()))))(()()(())(((((((((((((((((((((((((((()()()()()()()()))())()()()(())(()(()(())))))())(()((())))))(())()((()))(())())(()()(())()))))))))()()())(((((()((()())(()(()))()()(()()()((()))))(())))))))))))))))))))))))))),38,0
()()(())()()()()()((()(((()))((()()((())))()((((())))))(()(())))())())(()(((())((((()))((()((((()()())(()())((())))(((((()))))())(())(((()((()((()))))(())))((((()))()())(())()())()(()))(()())))(((())(()(()()()())()()())())()(()))())))())(((()((((()()(((()(((())()(()))())))(((()))))))()(()()(((((((((((()()()()()()()()()))())())())))))()()())))(()(((((((())())()()()((((((()()()()())(()())))))))())(()))())()()((()())))((((())))))())())()(((()))))))()())((((()))()((()(()()(((())(())))(((()()))((())(())))))))))),21,0
(())(((()()(()())))((())((()(())()))((((()))))()()))(()(()()))(())()()(())()(())()(((()()))())()((()(()))())(()((())))()(())(()()()()())(())((()((())())))((()))()()((())())((((()(())))(())(())(())((()(()(()())())((((())()(()()))(()(((())))(((()(()))))(()(((()()(()()))()()())(((())))))())(()((((((((((())))(((()))(((((((()(((()())())()()()((())((((((((())()(()))))())()()()(()()(()(()())(()()))))(((()(()))())))(()))((())((((((((((((((((()()()()()()()()()()()()())()))()))))))(()))))))))))))))))))))))))))))))))),42,0
((()))()))()))(()((()())(((()(((()()())()()()((((()()(((((())((((())()(()))())(((()()()())))()))()))))))))))))()())())()()()())))()()(()()))())()())(((((((()())(()((()()(()())))))((()((()))))))))())))(()())))(()(((()))((()((((((()))(()()()))()()()(())(()((()))))))))))((()())))()((())((((((())))()())(())((((())())()))((()()()()())((()())()((())()(((()))()()()()(()())()))(())(()(((((()(((())()((((((())))()(()(()((((())))))()))()()((())()))(()(((())))))()(()())()))()())())())))())())()()(()(((()(())(()(())((((,-3,-2
(((()))()))))(()()()))))())()())))))()()))()))()(()))(()(())(()((()(())()()((())()())()()(()(((((((()())((()()(())(()))((((())))((()(((((())(()()((()()()))())(((()())))(()(()(()(())()))())((())))))(((()))(())(())))))(((((())()()())()))))(((()(((((())()))())())()(((()(()))()(((((()()()()))()))()(()((())(()))()()()()))))()(((()(())((((()(((()()(())()(()()(()))(())((())((()))()()())()())(())))(((()())()((())())))((((())()())()))))()(())()()(()(((())))((()()))))(())())(())))((((())))(())()((((())())())()))(()((,-4,2
()()()()()()()((()))()(((())(())()))((((()(((()))))(((()()))()(())(((())()(()))()(()()))()))(((((()))((()))))(()))()()()())(()(()()((()())(((())(())()()(())))(((()()()())()(()()))()()()(()()())())()((())))())))(())(())()()()(()(()()(()()())(())(((()((()()()()()()()))()))(((()))()()(()((())(()())()())())))))()(())()()()()(()((())())()((())())(((())(()))())(((()())))((())(((()))((())()())))(()(())((()(()()((()()()))))))()(()))()()(()())(())(()()(())((((()()))(()((())((())())))()))()((())(((((()()))()()()))))),8,0
()))())(()())(()(()()()())()()(()))()((())))((())((())())))())(((()))(((())(())))))))((()))))((()(()(()))()))(((((((())(((())))(()((()())))))()(()())))()))(()(())()(()))()())())))(()()()(((())()(()(())((())))(())(((()))((())))(())()(((()(()()((())(()(()))(()())))))()))((((((())))())(())((()())))()())())(()(())()(((()))())(()))((()((())))(((()((()()()((()()((((())(((()()()))((())()()())()()(()))())()())))))()(()(()())((((()()))(()(()()(((()()())()())(())()))))(((((((())(())(((()()))(()(())(()(()))())((((())),-1,2
((()))()(()))))))))(()))((()())))())(())(())()((((((()()(()(())()()))()(((()(())))())()()()((()())()((()())))()))(((((())(())())))(()()))()))(())((()()()))))()(((())((()()()((((((()))(((()))))()()()()))()()())(()(()(()((()()))))(()(((())(((()((()))()()))())())))(()()))(((())(((((())(()((())))(()())())((((())(())()(())((()))))())())))))())(()()()()))())()()(())())((()()(())()))(()))())(())((()())(((())((((()))()))))()()()))(()))(((()()((()(()())()((((((()))()))()(()(((())(())))((((()(((())))(()((()()())((((),-3,2
()(())((()((())()()(()(((())(((()))((()))(()))))(())((()()(()()(((()))(()())))()))())()((((())())()()))(()()(((()()())(())((())()((((()))(()()))()()()()((()())(()()(())(()()))())((()(()((())())))(()((()())())))(())()))())((()))))(()()())()(())(((())()))()()(()(()(((()()))))()))(()(()()))((()()()()((((())))((((())(()(((()((())(()()))))())((()))(((())))((())())()(()(((()))))))((()))(()((()))))))())())()(()))()()))()()(()(()))(()((()(())(()(()()()())(()()()(())))((())(()())()(()(()()(((())())())())()())(())))(,-15,2
()()()()()(())(()())((()(((()))))()()()(()))(())(()(()((())()(())(()()()(()))())))()(()((())))()(()(())())()()((())(((()(((())))(((()()()))()((())()()))))())()()((((())))()()(())()((()())())))((((()()))))(((())())(()())())()()((()()())(())())((())((()((())))((())((()((()()))))))(())(((())()((((()))(())(()(()())()()(()()()))((())()()()))))))(()()()(((()(())())((((()())(()()))()()(()()))()()((()))()()()((()()(()))())())()((()()((())))(((()()())(()())()()()(()()()()()()()()()()()))))(()())((((()()()))))(())))),8,0
()(())()((((((()()()((((()(())(()()))))))()()((()(((((()())((((()()(())((()(())())))(()()()(())((())))(((())(())))(()))())()()(((((()))((((((()(((((((((((()()()()()()()()()()()()()()()()))()((())))()))())(()(((()))((()())(((()()))()((())()()))()(((()())()))))()((()))(())((()()())((()())()(())(((()()())(()))()))()(()(()((())))((()()()())((()))(()))()(()((())))))()))(((()))))))))))))((()()))(())(())())()((((()(()(())(((()()))(()()()()(()()((())))))))()((()()())())()()(())))((((((()())(())))))))))))))))))))))),33,0
()))(((())())()(((()))()())))((())((())((()))())(()))())((((((())))))((((())((())())))))(((((((()))()(())(()()))(()))()))(())()))()(()((()))()(()())()(()()(()((()))))()()()))))((()((()))))))()()))((())))(((((())()(()())())(())()()()()(())))())((()()()()))(()((())()))((((()(()()))(((()(()(((())))))((()))(())()(())))((())())()))()()))))()())(((()()))((()()()()))()))()((())(((((()))((()((((((((())((())())()((()())))(())(()((())(())()()((())))(())()()()((((()(()(()((()))()()))()((()))(())())()()()))())(()((())),-1,-4
()(((((()))(()()())())(((()()())()((((()(()(())()()(()))()))(())))(((((())(()()()))()))((())))))()()))()()(()())()()((())(((()(((()))))((()((((())())()()(()()))((())()((((()))))((()()(((()((())(())(())()))((((((()(())))()(())))()(()))))((()))()(()(()))())()((()()(())(())()((((()())))()))()()())(())((()(()))()))()))))))()))(((())((((((((((((((((((((((((((((((()()())(()))(()()))(())()()))))(()(((((()))(((()()())(()())(())()(())(()))((()()()()))))(()()))(((((()()()()()()())()))(())))))))))))))))))))))))))))))),33,0
(((()()))))())(())))()()((()(()((((())()()())())((((()(()())()(())(())(()))())(()()())()))())()))())))((((()())()()))((()((((()())))(()))((())()()(((((())))))(())(()()))))((())((())))()())((()()((()))))()(()())((()()()))())))()))())(((())((()))())))())()()()))(()()())())(()())()((()(((())))(((()())())))()(()))((())(()()))()()(((((()))())(())()()((()))()))(((())()(((()((())()(((())()(((((((((())())))))())((((()))(())((()())())()))()((()))(())(()())())()(()))())(((()()((()(((())()))(())())(())((())(((())))(((,-4,-2
(()))((()())(()()())())((())(())())())()))())((()(((((()()(()))))(()))((()(()(()))())())))()())())))))))(()((()()()()()()))(()))))())))))))((())()()))(()()((()))(((()))))))(((()()()))))((()()))()((((()()))()((())))((()(()((()()()((((((((()(((())(()(((())))()()())))((())()()((()))(()))()))())())((())()(())((())())))))(((()(((())((()()(((())))()())((()))(((((((()))(((())(((((((())()(()))(()())(()))())(()(())))(()(()))(((())()))((())((())()(())())())((()))))()()((()((())((())(()))())()((()())))())((())(())(()(,-2,-2
(((()))()))(())())(()))))()()))((())()))()((())))())((((())))())()(((()(())()()(()(()))(()))())))()(((((((()())(())()))((())((((()))((()()())((()()(())()())()())())(())()()()(()(()())()())))(()()()()()())()()))))(())(())))((())))(()((()(())())))(((())()))((((((())))((()))((((()(((()()()((()))()()(((()())))()(((((()(())(()((()())(((((()))))(())((()(())))(())))(())(((()()()(())())()(((((()((())())())()((((()))))())()()())()()()))))))(((())()()(())))))))))()))((()((((()()))()))(((((((()(()))()(()((((()(())))(),-4,4
()()))(()((()(()()((((())())()()))()(()))()())))(((())))()))(()(()(())()))))(((((())(((()()))()((((())))())(()(())(())((())(()(())()(((()))(()())())()())(((((()()()())()(())()()))()()((())())()()()))()())(()(((())))(()()()(())(())(((())(())((())(()(()((())))((()())))((()()((())())))((()()()))((()())()))))))())))(()))()(())()(()(())))())))((())(()()))((((())))))()()()((()())((((()((()))()))()((()((()))))(()((())()())((((()(()()()(()((())))(((())((()((((())())(())))()()()))((()))()(()()(()))((()(()))())(()()(,-1,4
((()(()))(((())())))((()()))))()))(((()))(((())())))()))))))()((()())()())()()()()()()((())(())))())))((())()(((((((()(((((()())(())((()())((((()))()))()()(()))))))(((((((()()())())(())(())()((()(()((()))))))(()(()()))()()((()))(()()))())((((((()(())((()))(())))))))(()((())()()))(()))))())(((())(()))()()))))(()(((((()(((())())())))((())(()(()))((()()()((()(()()((((())))))((())(()()())()()()()())((())((()(()()(((()()((()())))))))()(())())()))((((()((())))(())(())))())))()(())))((()(((())(()())()(()())())(()),-5,-4
(((()((((()(((())(())))()()()((((((((((((((((((((((((((((()()()())()))()(())))))(((())())((((((()())(()()))((()()()))))))(())())()))))(())((((((()()))(()()(()()()))()))()(((()))(())()))(((()(((()((((()())()(())(()()()()())())(()()()(())(())(())))())(((()())()(())((()()()))())())()())())))()))(()((()(()))))))()()))(()()(()(())((())((()())()))()())()())(()))((((()()()((()))(()((())((()())((()()(())))())((()()))(()(()))))))()()))(((((()))()()))(())))()))))))()()))))(()(((()((()(()()(()()()()()))))))))))))))))),36,0
(()(()())()(()))()(())((()))))()))))(((())()())(((()())(()()(((())))(((()()))))((((()))(()((((((())((())(())()()((()()))(())((()((((()(((((())(())))()())()(((()(((()(())())()(()((()(())()((())))(()()(((())(((())(()()()(((()))()()()(())()((()(((()))((())(()(()(()))))(()))))())()))))(()())))))()()))())())))(()((()((())())())((((()()((()())(((((())()(()))((()()))))()(((()))()((((()))))))()))()()))(())))())))()((()))(()))((((()()((()(())))())())))()(()()((((()())))(())))(()(())()()())()(())()))(())(()))))))())),-3,0
((()()())()((((((()))())(())))())(()))()(()())()()()()()(((((((()(()))((())(((()(()()((()())((()))))))))()()(())(()))))(((())(((()())))()()()))(((((()((((())())((((((((()))))))()))())())))()))))(())))()()(()())(((()(())()(()())((()(((((()(()((()()(((()((()))((())(())(()))((())(()()()()))))((((())())))(())(())))((()((((()()))()))())())))()())())))))())))()())()(()()(()(()))((()()(())))()(()())()((()(())()(()()((((())(())()()((((())())())((((((((((()()()())))())))))((())((()(()(()())((())))))))((()))))))))))),19,0
(())(())()((()))()()(())()()(()(()))(()((())()))((()()()())()((((()))()((()()(((()))((())(())(()))()))()()()))()))()()((())((())))(()()())()(())(((()(()((((((((((((((((()()))(()))())()))()()(())((((())())()()(())))())))())(())(()((()()())()()((((())(((()(()()))(((()()()))()(())()())((())((()())(()()()())()(()())())(()())(())(()(()())))((())(()()())()((())()(()))(())(()()()(()))))))(()()()(()((()()(()(()))))()()))())()(()(((()((())())((())())(())((()(())())))))(((()((()()()())(()()))(((())))))))))))))))))))),21,0
())(()((()))(())()()()()()()))))))(())))(()()(())))()()))(((()))())))))))()))(((())))))(()(()))((()(())())((((((()(()()(()()()))())())))((()))(((())()(())((((()())))))((()())())((((()()(()))())))((())()(((()())(()(()(((((((())((((()(()))((()))))())())))((((()())()()))))(()))((()((((((((())())(()()((())(((())())()())((((((()(((()()()()))())()))(())()))((((()(()())())()())()))))())))(()()(())(()()()(((()()))()())())((())(()))()(()(()))()()(((()(())()))(()((((()))()())))(((()()((())(())((()(()()()))(()()))))((,-1,2
()()(()())(())()()()(()(((()))))()((()))(()(()(())())()())(((()()))(()(())))()()(()()())(()()(()))()(((())))()()()((((())()((()(()))))(())()(()((((((((((((((((((((()()())(()()))()())())()(()(((()))(()(()()()()())())((()())))()(((()()()())()(()))(()()(()()))(()(()())))()(()())())()))))(()))))(())))(()))(()()())(()(((()(((())))))(((((())()(()(())()()(((())()(((((()()())))()))(()()))((((())((()(()))(())())(()(()(()()())()(())(()()))()))()(()())))((()((()()()))(()(((())()))()()()))((()())))(())))))))))))))))))),24,0
(((((())))))()()(()())()((((()()(()()()()()()()()())))))()(())((()((()(()()())()()(()()))(())())))((()))(())()(((())()(())))(((((())))(())()(()())(((()))()()((())()))()))()()()((()()))((((()(()())(()))())))(())((((())((())))((())))()())()()()(())()((((()))()(())((()(()()()()())))()))()()(())()(()(()((()()))())())()(((())))()()()()()(()())()()()()()()(((())())())()(())(((())()(()())()((())))()()((())()(())))((())(())())()((()))()()(((((()()()))((()()())(())(()())())())(((()()()()()))))(()))()((()(())()(()))),6,0
())())()()))))()(((()()))())))(())))())()()(()(()(((((((((()())()(()())(())())))((())))(()()(((((((()(()))(((((((((()(()()()())))())(()(()))((())(()(())))()((()(()())()((()))((((()()()))()))()())(()())(((((()(()))((()(())())))))))()))((())))()))()(()))(()))()(()))(()))))())((()((()((()))))((()))))()())(()(())()))))())()))(()(()(()()()))((((()(((((()()))(((()))((()(()))())))))(()()(()(())))(()((())))))()()((((()()()(()))((((())))((()(()()()()))((((()()())((((((((()()((())(())()(())))())()))))((()))(()())(()),-1,2
((())())()()()(())(((())))((()))(((())(()()((()(()()()))))()))))(((()))))())(((((()(())())(())))(((()))(((((((((()((((()())()())()((()())))(())))()())))(())))))(()))(()()(())(())((()(()))))()))((())((((((()())))(()(())(((())(()))((()()(()))()())(((((()))()()()(()()(()()()())(())(((()(()(()(((()))()((((())(())(((())()(()()()())(())))))(()())))()())))()((()(())((((((())())())())(()((((()((()))()))))())))(())(())((()()))(()())()()()))))((())))()()((((()()())())(()))))))(((())))(((())()))((((())(()())))())))((),-7,2
()(())((()))(((()()(((())(()()(()))))))(())(((())(((()()))))))(()())()()(()(()))(())()(())()(()())(()(())((((()(()))()(((((()(()()))((())(())())()()))()()))(()()(()((()))((()(()()())(())((()()))((())((())((((())))))))()()()()))()))(()))(()())())(()()(()())((()()))))(((()()((()()))))()())((()()()))()()(((((())())(((((()(()))((()))()))()())(((()((((()))))(()()((()()(())(()))(((()()))))((())))((((((((((((((((((((((((((((((((((((((((()()()()()()))(())()()())))()())()))))))))))(())))))))))))))))))))))))))))))))),48,0
()(())(()())())()(()()()((((((((())))()()()(()))((((()))))(()())(()((()()()())(()()(()())())(()(()(()()(((())())()())()()))()())())))())))(()())()()()()(((((((((((())))()))(())((()()()(()((()))())((())()(((()))()()(()))(()))())()(()()())())))()(()()()))))())()((()(()(()((()())(((())()()))))))))()())(())()())((())(()()())))(((())()())))((((())))()(()()))(())())(((((())(()))())())))))(()()))))))(()(()))())()(()((()(((())(((())())(())((()()())(((())))))()))((()()())(((()()()(((()())()())()))(())()((()()(()(()(,-2,-4
