sequence,stack_depth,count
((((((()()))(())))))(()(())()((()()((())()()))())())()()((((()))))()(()()(()()(()))),7,0
(()())((()()((()((())())((((())(()((()())()))))))))),11,0
()(())()(((()(()(()))())(()(((((())())())(())((((())(()))()((()()())()()())))))))),10,0
()(())((()())(())((())))()(()(()()))()()(()(()()))()(((()()())))()((((())))())((()())),5,0
(())()((()))((())(((()(())()(()))()()(((())(())()))(((()(((()((()()()))))))))))),12,0
((((())()()((()()()()))()()((()())))))(((()()(())(()())(()()))(())((((((())))))()))),9,0
()((()(((((()))())())()(())())()()(()((())(()((()))((()()()))))))),8,0
()((()()))(())()()()()()()(())(())()(()()())(()((()(())()())(((()))((()()))))),6,0
()(()(()((()((()()))()(((())(((((()))()(((()(()))()))))()(())(())())()(())))()()))))(())(),14,0
(()())((()()))(())(()(()(())()()))((()))()()()(((((()(())((()()))()(()))(()((()))))()(()())))),8,0
()()()()(()()())((()(()()()()(()(()()))())())(()))(())()(()((())()))((()()()(()(()))((())()))),6,0
((((()()((())))(()()(((((()()))(())()((()))()()()()()()((((((()))))))))))))),14,0
()((())(()((()((((((()))()((((((()()(()))))))))))))))),16,0
((()(())()))()((((()(()(())()(()))))))(()()(()((((())(()(((((())))())(()(()()(()(()))((()))))))))))),12,0
()()(())(()(((())()())(())()))()(())()(((()))())()()()((()((()))())()),5,0
((()(())())()(((((()())(()()()(()(()((()((()))))()(()(()))((()(()()))))))))))),13,0
((()()(((()(())))((((()))))()((())(())((()))()(((()(()()(((((())())((((()))))))))))))))),16,0
(((((()((())(()()()())())))()((())(()(((())()((((()()(()()()(()()))()))(())()(())))))))))),14,0
((()((())((((()()())))()))))(((())))()()(()(()))()(),8,0
(((())))(()(()))(((((()(()()((())(()))))(((()()(((()(()(((()(((((((()((()))))))))))))))))))))))),24,0
()()()()()(()(((()())()((((()()(((()())(()()()((())()((())()))())((()))))))))))),14,0
()(()(()))()()(((()(()(()()(()()()()())()(())())()))(()))(()(((((())(((((((())))())))))))))),14,0
()()(((())()))(()()())()((())((()))((())))()(())((()()(((()))))),6,0
()()((()))()(((((()((()(((()()())())()((((()))()()(()(()(((()())))(()(()(())(()()))))))))))))))),16,0
()(())()()()()()()(((()(((()())(()))))())()())(()()())()()()()()(),7,0
(()(()()()))()((()(())(()(())())()(()())))((((((())))(()(()())))()))()(())((()()())),7,0
()()((((())(()((((())(()(())(()(()())(()))()))()(()(((()())))))))))),11,0
((()))(((())))((())()(()(()()))()((()()(((((()((()))(())())())())(()())()))(()))())),11,0
()(()(()(())(((())()(()()))(()()()((()))((())())()()(()))((()())()))(()))((((())))))(())()((())),7,0
(((())()))(())()()(()(()()))()(((()((())())(()()))())),6,0
((()((())(()(())((())()())()()(()))(())())(())()(())()(((())()))())()),7,0
((()()(())()(((()))(((()(()))())())(())()((())))()())())()()(((())()))()((())),8,0
()()()(())()((()()))()(()((()(()))()))((()())())((()))()((((((()((()())))()(()())))))),9,0
((())((())(((((()())))))()))()(())((((()(((((()))))))))()(())())(()),10,0
()((()())()(()))()()(())()(()())()()()()(((()())))()()((((()(()((((()(()())))))))))),11,0
((()()))(((())))()((((()()))))((())()((()(())()(()))()()())((())))()((((())))),5,0
((()((()()()())(())((()()))((()()()((())))))(())(()(()))))(()),8,0
(((())()))()((()))(())(())(())()()()()(()()()()())((()((()))()()))()()(()),5,0
(((())()(())()()))((()()(())((((((()()))))(()))())()()))((())()()(()))(())()()(()),9,0
()(())(()(()()())(()))(())()(()())(((())(())()))(((((((((())))))(()())))()()))()(()),10,0
(()())()((()))((((()()(()))()()(()))))((()(())))()(),6,0
(())()((((()()(())(((()))()))((()()((()))))()()()())())())()(),8,0
()()()(()()(()()())(()(()()()))((())))(()((())()()()()))()()()()((()))(())()()()(()())()()(),4,0
()()()(()(()()))()(()())(())()(())(()(()(())()))(()(((()(((()))(()())))))),8,0
()()(())((()))(())(((())))(()()()(()))()()()((((())))(())),5,0
(()())(()()()()()(((()((((())(((()()))()(())))))(()()))))),11,0
()()((()()))()((())())(())()()()()()()()()()()(((()))()(((()())())((()(())()((()((((())))))))))),11,0
(((((()()()))(()((())(()(()))()))((((((()((())((((())(())))))))))))))),15,0
()(())((()())())(((()(((((()()()))()((((((((((()))))(((()))))))))))))))),17,0
()((()(()()(((())))(())()()((()((()()((((((())((()))()())))))))))))),15,0
()()()(())()()()()()()()((((((())))(()))((())())()(())()))()(()())(()()(()))(()((()))(()())),7,0
(((()())()((((((())(())))()))((()(((()))()(())((())))))))),9,0
()(()(()))()(((()()()()()()((()(((())()()))(())))))),9,0
(())(((()))())()()()()()((())(()))()(()((()))())()(()(((((())())((((()((())))))))))),11,0
((()((((()()())))())()(())))()((()())(()()()))()(())(())()()(())((((()())(())))),7,0
((()))(((()())))(())(()()(((())(((((((()(())(())))()((()()(()))()())))()()(())((())))))))),12,0
()((()))()(((()((())())()((()((()(((()((((()(((((((()))))))))))))))))))))),22,0
()(())()((()))()()()((())((((((((((())(((()))()(()()(()())()())(())())())(()()()((())()))))))))))),14,0
()((()))(((()()(((((()))))((()()(()(())((((())()()((((())))))(())(()((()())))))))))))),15,0
(())()((()(())()((()()))))()((()())(())()((())))(()(())),5,0
()(((())()(((()()((()((())(()((((())()(()))))))))))))),14,0
()((())((()((((((()(()(())))()(()()(())))())())()))))),12,0
()(((())()(()(()((())))()((((()()(())())(())((((()()(()((()()))(())()((())()()))(()()())())))))))))),14,0
()(((()()())))(((((())())((())(()(((())()))))()(((()()((()(()((((((()))))))()))))))))),16,0
()()()()()(()())()()()()()()()()()((())()(())((((()(((((((((()())()(()()()())()()()))))))))))))),15,0
(())((()(((()))((((())((())(((()))()))(((()(((()))))))((()(()())))()()())))))),13,0
()((((((())()))(())))())()(())()((((()(((())))))(()))((()))),8,0
()()()()(())()(()((((())()))(((())(()())))(((())(()))())(())((())(())(())((()(())((()))))))),8,0
()()(()())()(())()()(((()(()))((()))((()())))(()))()()()((())(())(()()()))(()(((((()))()()()))())),7,0
()((())((())((())((()(())()(((()(()((())()((()()()())()())())))))))))),13,0
((()))(((((()(())(((())))))(())(()())()(()))(((()(((())))))))),9,0
()()(()(((()(((((())()))())))((()(()(((((()((()))(())))))))))))),14,0
()()()(()(((()()())()))(()()(())))()(())()()(()((((()))())))()((()))(()(()()((())(())()))),6,0
()()()()(()())((()((()(((((())((()()((())(())(()(()()))(()((())())(()()))))))))))))),15,0
()(()(((())(())()()((((()(()))()())()())()(()()))))),9,0
(()()()()((((()())()()(()(()))))()((()))((((()))())))),7,0
()()(())((((((()(())()((((())))((()((())()(((()()(((())(())))))))))))))))),17,0
(()())(())()()()()(()(((()()))())()((()()))(()((()(()))))),6,0
()()(((((((()())())((()()((()((()((())()()))))()(((()(()(()((()())()))(((())())))))))))))))),16,0
()()()()()(((())()))()(()()()(()))()()((()))(((()()((()))))),6,0
(((((((((((((((()(((())(())))())((())))))))))))))))),19,0
((()())((()(()))(()((()(())()(())))((()((()((()(())(()))()())(())((()())()))())()(())(())))))),11,0
(())((()))()(())()()((()(())((()(()(()()(((())))))))((()()((())())))))()(())()(()),10,0
()()(()(((()))(()(()))(())((((()())()())((())((()))((()())))((()())))))),8,0
((()(()()()))(())((((((()(()()())))(()()((())))))))),9,0
()()()(()())(())()()(())(())()()(()())()()((()()()()))(())(((()))),4,0
(()(((()))(()(()((()(((())))()())((((()(()()(((()()))))))))))))),14,0
()()()()()(()(((()))(((((((()))))()(())())()(())())()()))),10,0
(()()(()(())(()()()(())))()(((())()(())))())(())()((()(()))(((()()))()(()()(()))(((((()))))))),8,0
(()())()(()())()()(())((()(()))()((()))((((())))(((()()()))))),6,0
()()()(())()(()())()((())())((())((()((()()()()((()))))))),8,0
()()((((())()))()(()((())((()(()())())()(()))((((())((()((()(()))((()()((((((()())())))))))))))))))),18,0
(())(()(()))()(())(())()()(())(())()()()()()((()))()(())(()),3,0
()()(())((())())()((()(()(()))))()(())(()()(()))(())(()),5,0
()(()()(()(()))())()()()()(((()()(((())(())(()(()))))())))()()(()((()))),8,0
()(())(()()()(((((((((((()))(()(()))))((()))(()())))(())(((())))((())))))))),13,0
((()()))(((())(((())())(((((()())())(())(((())(()()((()()(((())(())())))()(()())))(())()()())))))))),15,0
()()(())()(())(()()())()(())()()(())()()()()()(()((()))(()))()()()()((((((()((())()))))))),9,0
(())(()())(())((())())()(((()(((()())))())())((((())()))))()((()())),7,0
()()()()(())()()(((())(()(((()))(((()((()(((((())(()(())(()()()))(((((()())))))))))))))))))),19,0
()()()(()(())())((()))()()()(()())()()()(()(())()())((()))(())(),3,0
(()()(()()(()(()()()()))())(())(((((()((()(()()()))(())))))))),10,0
(((()())((()()))(())()))()(())()((()))()()()()((()())())()(((())))((())(())),5,0
()()((()())()(()()(((()))(()))(((()()))((()()(()((()(((()(()((())()())((()(()))))))))))))))),16,0
(())()((()()))(())(()((()()))())((()()))(((()))()()()()((()(()()(((())))(()))))),8,0
()((()(())()))()(())(((((((())(())()))())))())(())((()())()),8,0
(()()(()((())(()()()(())))))()()()()()(())((((())(()(())))))()()()()(()),6,0
()(())()(())(((())))((((()()(((()))()))())(())())(()()))()()((()))()()(),8,0
(()((())()(()(())))()(()((((((())))()()()(()()())()))))),9,0
()(((((()((()()))((()(((()(()()))())))(())())()))((())))(()))())(()(((()()(((()(())))(((())))))))),12,0
((()(((((()(()(())())()))((())())))))(()((((())())))))(())()(()()),10,0
((()))(((((())()))))()(())()((())()((())))(((()()())))((()(())()((())()()))())(())()(),6,0
((())(()))(()(()))()()((()(())(())())()(((()()((()))))(())))(()()()(()()())())(()(()))(())(()())()(),7,0
((()))(())((((()(()))()())))()()(((((())()()(((((())()))())))((()()))))(()(()))()(()()))()(((()))),10,0
((()(()()()()((())))()(((()()(())))((()((()))()())(())())(())(())(((()))(()(()(((()()(())))))))))),11,0
((()))(())()()(()())(((()()))()()())()(((()))((())()))()((()()(())())((()())))()((()))(),4,0
()()()()()()(())(()()(((((()()))))))()()()(())(((()(())))((()()(()((())(())(()))()))(()(())))),7,0
()()()((()))(((())(())()))()()(()()()()((()()()))()(()((())))),5,0
()(((()()((()(())))())()()(())))(()()((()))((()((()))()())))((()(()(()()))))(),7,0
()(()(()()(())((((()))())(()((()))))))()((()))(((()()))((()))(()()))(())(((()))(())),7,0
(())()()(((())((((())))())(((())((()((()()((())))))))))),11,0
()()(((()(()))(((()(())))()()))())((()(())))((()()()))()(()(()()(()))),7,0
((()(()((()(()(()(((((())))((())())())((())(()))()))())()(()))())))),13,0
(((()((()(()()())())))())(()(()()(()))(()())(()(((()))))((((()(()(()())((()))())((())))))))),10,0
((()(())()(()())(())()()((((()()(()())(((()()))(())(()(((())))))()())())()(()()()((()(())))))))),12,0
((((())())))((((((()((())(())((()((())))(()())())(())(()))())(()))(())(()))))),12,0
()()((()()))()()(())()(()(((())((())))(())()())((((()()(()()()()((()(())()())())(()())))(())())))),10,0
()((()()())((()(()()(((((())((((((()()()(()))))))))))))))),16,0
()()((()))(((())()))(()(()()((()())(())((())()((()())))()()((()())))))(),7,0
((((())(()())(()()((((()(()()()())(())())(()(()))))))))),10,0
(()((((()(()())())(())))(())))()()()((((())(()()()(()(((())()(()()(()))(()))))))((((()())))))),10,0
(())()()(()(((())))())()()()((()()))()()(())()(())()((()())((())))()()((())),5,0
()(()())()()((()((()(()))((((()()()))))(())((()))))),8,0
()(()((()(()))()()()()())())((()(())((()((())()))())((()(()(())((())((()()())))))))),9,0
()()((((()()()))))()()()()((()()(())(())())()())(())((((())))()((((((()((()))()())))())((()))()))),10,0
()((((()(()(()())()(()()()(()()))))))())(())((((((()(()(())))))))),9,0
()(())()()(())(())((()()((()(((((())()()))((()()(())()(()()(()(()()))))))))))),12,0
()()(()()(())(())(()))()()(())(())(())((()())((((())))()))(())(())()(())(((((()())())(()(()))))),6,0
()(()(((((()))))))(((((((((())((())(()()(())((((())())))(()(()()()(()())())))))))))))),15,0
()()()()(((((()((())(()))()((((()(()((())())())())())())))()))(())((()(()())(()))))),13,0
()()(()((())(()((())())(())))()(()((())((()()(((())())((()(())()())))))))),10,0
(((()())(((()((((()()()()())))()(()))(()((()()(((()((()()))))))))))))),14,0
((()()))(())((()()()()))((()()(()((((()((())())(())())())))))),10,0
((()((())()(((())((()()()((()))((())(((()()()))))))))))),12,0
(())(()())()(())()(()()()(()(()(()(()(()))((()((((((())((()(()))((((((())))))))))))))))))),19,0
()()((((((()(())()())(()())((()())))(((()))()((()(()()()))(())))()(()))))),9,0
()()()(())()()(())()()()()()(())()()()((())(((()())))),5,0
