sequence,stack_depth,count
()(((())()())((()())))((())))((((((((())(()((())))((()(()()))))(()())))))(((())))((()((()(()()(()((())(()))))((()())()((((((((())))((()())()((()()()(((()((()((()((()(()(()))()((()(((())()())()()(())()())()((()()(()()()((()(())))((())(((()((()))(((((((()((((((()(())(()()()()))()((((()))))))))()(((()(()()()()))(((((()((()))()((()()))(()((())()()(((()()))((())()(())()))())()()()())()((()))(((((()(()((((()()((((((((()(()()(()))(((()()))))))))())()))())((())()))))()((((()())()(()((()(()))()))))(())()(((()()))()(,-4,56
(((()())())((()()((())()(()))))())(((()))()((()())(((())()))))((()())((((())(()((())()(((((()(()))))((((())(()()()())())))()(((())()(((()(()())()))())())())())()))(()()()(()(((((((((((((((((((()()()())())((())()(()()())()))))()()())()))))(())))()(((())(())()))(()((()()(()((()(())))())))()))()()(()()()))()()())()()())(()((()((()())()()(()(((((((()()()(()(()))())(()((()(())))()((()())()((())))((((()()()))(()()))(()))()()))))(()))))))((()))()(())(())()())((()())()((()))(()())(())(())()))(((())())))))())))))))),27,0
((((((((())(((())())))))())()))((()))())(())(()(())(()(()))))()())()))()))((())(((()))))())())((()((()((())))(()())((()))))(()))(())))))))((((()))())))(())))())(((())()))()()(())((())()()))((())())))()))))))()()))))((((())))((()((()((())())()(())(()))()()(()()()))())(())((((((((()))))))()))))((()(())))))())()(()())))()()())()(())(()))())(()()(()))()((())))))))))))(()((())())(()())))))()(()(()())())()(())(()(()))(()))))())()))()))(((((()()((())((())(((()))(())((((((())())((()))()()))((()))()()())()((()(()()),-11,-48
()(((())))(())(((()())()(())()()(((())(()()()()())))()()()))((())(()(((()))(()((()()(()))((((())((()))()()(()(((())()))((()()()()()(()))(((((())((((()()())(((((()))(()()()()())()))()())))(((()())())(()(()(())((()(()(()()()()()())()))())(()()()(()()(()())))((())))(((())()((())()(())((()()()()()()()()()()()()())(())()))()())((((())(()))()()((()))(()))))((()))())(()(()()))(())(((()()()((()(()()))()((())()(())))((()(())(()()()())(()())()(()()))))(((())()(()()())()))()))))(()())))(((())(()))((()()))))))))))))))),23,0
()()()()((((())(((())(((())(())))))))(()))((())()((())(((())(()()())()))()))()(())()()()()(((()()((()(()()()((()(((((()()())))()((()(((((()))()(())((()(()))))))))())(())))())((((()(())))(((())))(()(()(((()()()()(((((())(()()))(())(()((()(())())()()(((())))()(((()(()((()()()))(()()(((()())()()(()())(())))(())))()()(((((()))(())()(()(()()()()()()())())(()))()()((())()()((()()())(()())()()())))((()()))(())()(()(((()()))())(()())))(((()())(((()()()()()()()()()()()())))()))(()(())()()()())()))))))))))))))))))))),27,0
((((((((())))()))(())((())(()(())(())))()()())((()(()(()()))))(()()((())((())))()))()())((()()(()(()())())()))((()))()()()((())(())()(())((((((())))))(()()()()((()()()(()()))())()(())))())((()))()((((((((((((((((((((((((((((((((((((((((((())))))(()))((()))())))()))))()())()()()(()(())()(()(()((()()(()))()()))()(()())(((()(()((()))()()()))())((()))))))((((()(()((((()(()())()()))()()()()(()())))()(((((((()(()())))()(())))()()))((()((((()(((()()))())))(())((())())()()))))()(())))))))))))))))))))))))))))))))))),43,0
()))())()()))()))((()()(((()))(())))))))))())))())(((((()()()))((()))))))((()))()(())))()((()))))((()))(()((()))())()()()(())))(())()(()((()(())()))))))())()))))()))()))(())()((()(())(((())))())((()))())()()(()(()((()())(((()))())(((()(((((((()()))))))()()((((((()()())()()()()))))))())))()))((((((((()()(()))()()()))(()(())())))))(()(()))))((())))((()))())((())()()))((()()(())((()(()))))(())))())()))(())))())))))))((()(())()())())))())(()))())()))())()))(()((()())(((()()))((()))((()))))(())((()(((())(())((((,-1,-52
()()()(((())(()))(())()((()(()())())()()())((()(((())()((((()(())()))((()())()((()()))))(()(((())))())(()(()()))))())(()))))(())()(((()))())()()()(((())((()())()()(()((((()()(())(()())(()))((()(()()()()()()()()()())(())()))((()(()())())(())))()))))((()((((()))(()()))(((())())()))()()())()(()()))()(())()((())(()()))()))((())(()(((()()()()())))())()()())(())((())()()())()(()(()(((())(()(())()((())(()(())))((())()())))))(()())((()(()(())))))()()()((()((()()))((())())((()()((((((()()()))()))()()(()((()))))))))),11,0
((((()()((()(((()))()))((())()()()((())()())(()((((())((())(()())(()(())(())(()((((()()(((()())()(((()))))()(((())()(()))()((((())()))(()))(()((((()(()())())(((()((((((((((((((((()()()()()()()()()()()()()))((()()))(())(()(()))()((()()())))(((())(())(()())(()()))()()))((())(()))))(()))))()()()))))))))()())())))))()))))))((()())()(())))(((()())(()()((())())))))((((((()(()()))(()())()()()))()()))()(()(((((())))(()((()())(()()((((())())())(((()(())))((()((((()((()(())())())())))(()(()))))()))))))))))))))))))))),43,0
()(()()())()()()()()()()(())(()()()())(()())(())()(())()(()()()()())(()())()(()()()())()()(()())(()())(())(())(())(())(()()()()())()()(())()(())()(())()()(()()())()()(())(()())()(()()())()(())()()()(()())(())(())()()()()(())(())(()())(()()()())()()(())()(()()()()())()(()())()(()())()()()(()())(())()()(())()()(())()()()(())(()()()()()())()(()())(()())()(()()())(()()()()())()()(()())()()()()(())(()()())()()(())()(())(())()()(())()(()()())()(())(()()()()()()()())()()(()()())(())()(())(()())(()()()())()()()()(),2,0
()((((((((((()()())(()()())()))))())()(()(()())(((((()()()))))))(()))()(())()()))(()(()()()((()((())))())(()()()(((())(())())))(((()()((((()()()())))))()()()()))))(((()()(((()))(((()((())(()))()((())(()))(()))()())(()()((()))(()(())(())()))()((())())((((()()())(()))((()()()))()((())(()()()()()())()()(()()())())()))())()((()()()())(())((((()))(()))()(()))(((()(()())(()())())(()(()()()())))((()()))(((())(()()()()()())))))()(()()())(((()))())))))())()((()(())()()()((())))((()(()))()()))((((())))(())()((())())),11,0
(()()()))()()())(((()(()(()()((((()()())))))))(()())(((()((((())(()))))))((()(((()))()((((((())((()(()()())())(((()(((()())())))()()))(()(((((())))))))))(()))))(()()))(())())((()))(())))()(((((())())((())((((((()))((((())()((())((()((())))))()()(()(()(()()(((()((()((((()(()(())))))((()(((((()()((()((()((()(((()())))((())()(()())))))()((()(()((()())(())()())(()(((()))(()())()()))(()(())((()((()((((()(()))(())))()(()))(()()()))((())())((((((())()()))((())(()())((())()()(()()(()))(()()()(((()(()((()))))((()()),-2,46
())))(()(((((((((())(((())(()(())))()))((()))((((((()())(()))())(()))())(())())()((())(()()((())())((()(()))(())(()()()))(())(()(()(()((())((()))))((((((((())()(()))()((((()((()(())((()(()()()((((()))))(()((()(()(((()))()()((()(()())(((()))))()(())((((((()()()))((()((())())()(((())((())(((())(()()(())))(())((()((()())(((())())((())))((((()))((()(((((())(())())((()))((()))()(()((())()()()())()((()())))(()(()()(()))()()))()((()(())(())((())((((())(()))))))((()(((()(()(())(()())()(())()(((()))())())(())())())),-1,52
((())())()((()))(())(())(()()()())()((())((())))(()(()))(((((((())())))))((((()(()))))()((()())()))((()(()()((()((()()(())(((())(())(())())(())))((()))((((()))(()((((())())((((()))(())((()(()()()(()))(())(((())(((())))))))())()())())((((((((((((((((()()()()()()())(()())(())))())()(()(((())()))))()()(())))())(()()())()))((()()()()(())())))()((()))(()(())))())((())(()))))(()))(()()((()((()))()()))((())()()()(((((())((((())(())))()()()((())((()()))()())))(((()((()()))(())(()(((((()(())))))))))))))))))))))))))),28,0
())((((((()()())(()))(((()((()()()))()(()))))(())()(())))()(())((((())))))()(()))()((())())(()())()(((((()()()())(((((())((()(((())))((()(())(((())))(((()()((())((()))((())()))))))(()()()((((((((()((()(()(()))))()(())())))(((((((()()(()((()()()(((()))(()(()(()(((()(()((()(()))))()()))(((((()(((((()()()))()((()(((((()()))(())(((())))))()()())()())(((((()))())))())))())((()((()))(()()(()(((())))()()))((((((()))()())))(())(()()))))(()(()()(())))(((((()))()(()())))())())))))((((()())((((()))))((())((())(((((((),-1,42
()()()(((()()(()((((((()(()))))(()(((()((((((())()))()())((())())((()()()(((()())(()(())(()(((((())()((((())(((((()()(()())((()(())(())))))()))()(())()()()()))((())))((((()(((((())((()())))(()(((()(()((()(())()((((()()(()((()(()))())))))()))))(())())()())))())))(((()))())))()()()))(())()((()())(((((((())((())))((()))))))()(()(()(())(())(()(((()((()(((((((()))((()((((()))((()((()((((())(())((()))(())((())((()()))(((()(()()((()())()()))((((()())))(()(()())))))(()(()(())(()))((()(((())()((((())()))((()(())))(),-62,58
((()()())()((((((((((((((((((((((((((((((((()))))((()()((()()()()))()())))())))(((()()()()))(()()))(()))))((((()))(()())()(()((()()())))))()())()((((())(()(((((()))()())())())))((((((()())(()(())(())((()()()()()((()))())))())()())))((((())((((((())))(()))()()((()(()))())))())((()((()))()))))()())))(((())())))(())()))()(())((()()(()()())()(()())())()((())))((()((()())((((((())((())())))((((()))((())((())((((()(()))))()((((()())(()))(())()())((()))()(()()(()()(())()()))())(()()())))))))))))))))))))))))))))))),34,0
(()(())))(())(())(())((((()(((()))())(((()()((()((()(()(()((((()(()))(()()))))((((()((()(()()()())(()))(()())(()()))(((((()((()((((()))(())())()(()(()(())(())()(()())((()())()(()))()))()()((()(((()((()((()(())))(()))((()(((())())))(((((())())(()(()(())(())())((((((()(())((()))(((())((())(()))((((())((()()())(()(())())(()((((()())()()((())(())()(())()))))(((()(((()))))()))(())())()()(()))))()())(((((()((()(()(())((((())))(()((()(()))())))((()()((()())))))))((()(())((())())(()()(()()))())())((()((()()))(((((),-3,54
(()()()))((((())()((())))()()(((())(())())))(()()((((()()())())(()())())))())()()))))(((((()((())()))((()()(()(((((((()(()()))())(()(())(((())())()))))))()))()))))()))((((())(())))(((((()))((()())(()(()(()((((()((())(()(((()())((((())((()(())))(())())()())()))(((()((()))()(())))()())((((()((()(()())())))()()(()(()()()(()(((())()))(((())((()(((((())((()(()((()((((())()(()))((())))))((())(()()()()((())((((())))))))(())))((()((())()())(()())(((()()()))()())(((()())()(((((()()))())()(()(()()((((()(((((())()((((,-2,46
(()(()(((())()))(()())(()()))((((())(((())))()(()()))((((())())((((()(()())(())())(())(((()))(((()(())()))((()))(()(()))(()())((())(()((()(())))())())(((()))((((()(((()()(((())(()(()))()(((())())))()(())))((())))(())(()(()(((()(()()))((())(())))(((()(((())(()()((()()(((((((()()((()()))))()(()()))(()((()()))())(()()())(((((()()()())()))(((((()(()(((()()()((()))())))))()((((())()(((()))()((((()()))()))))))))())))()((()))())(())(()())(()()(()((())(()((()((((()((())(())(((((())())()))()(((((((((()()(((())((())),-57,54
())(()(((()()(()(((())(())))))(((()()()(())(())(()()(()()(()((()()(()(((()((((())()()(()()()(())))(()))(())(((((())((((())()(()()(()())))))))((()())))))())(()())))(())()(()(()(((()(())))(())))())()((()()(((()((())))))((((()()(()))()(())((())(()(()))()()()()((()((((())()))(())())((((((()()()())((())()()(())((()()(()(()))()())())(((())))(())(()((((()(((()()(()((()(())(()(()())))(((()((()(())()(()(())(((((()))())()))((((())(((((()((()(()(()((((((()))(()()((((())))())((()((())(())(((()()))())))))()(((((((()))((,-1,64
()()((())(((()))((()())(()())(()))((())((((()(()(())((())()))((()())())))()(())()(()(()()())())()((()()()()((()(())(()))(()))()(()())()))(()((((((())()(((((((()))(((((())()()()()))()))(((()))()))(()((()())(((((()()(()()())())(())))))()))()(((())()))((())())))))(((()())(((()(((()))((()(((())))()()))(((()()()((())())((((()()((()())(((((())()(())())(()(((()())))))((())())(()()()(()((((((()))))(((((()(((((()))))((())()()()(()())))))()())())()((((())))()((()((((()((())((()())(((()(((()))()())(()(()(((((((())())(,-54,52
()(()(())(((()())(())())))()()()((())())()()(())()()()(()((((()())(()))()()))(((((((((((((((((((((((((((((((((((((((()())))))(((())()()))()(()()))()(()))())((()()()(((())())()(()())(()(())))))((())))()))()))())))((()()()))())()(((()))())()()))(())())())()((()(()(((())((()(((()))))()()))())((((((((())())(()(()(())))())()()())))()(((()())))(()(())))()(())()()((())))))()((()()(())()))()()()()(()(())))()()())(((()()(()())))(())()())(()()()(((((((()()(((()(()())))))()()))()(((())(())()()))))))))))))))))))))))))),41,0
()((()))())(()((((()(()))))((()))))((())((()(()((())(())(()(()())(((((()))))))()()()()()(((())))(()()())(()))()())()(())((()()((()())))(()(()((()))))(()((((((())()))()()))()(()((())(((())()(((())))))()((()(())))((()()(())())()))((()))()((())(((()))))((((()()()())))())())(())((((((()))((()))())()))())))(()(((((())()()(((((()(())))()())()()())))())))((()))(()))(()()((((()(((((()()())(()(()(((((())))((()((((()(()(((((((())))(((()((()(((((()(())((((())()))(()())()(()(()()((()))(()((()((())((())(()))())((()((()),-3,46
((()))()()((()()()()()))()()()(()(((()())(())())))()(())(()((()((((())(()(((((()(())()((())()((()()))((())())))()((()))(((())((()()()()()()()()()())(()())()()()(()))((()))))())()(()()())((((()(()))()(())()))(((()()()(())(())))())())(((((()()()()()()()))))())((())()(()(()))()))))))((())()(()())(())((())())()))(()))()()()))(((()(()()()))(()(()((())()((()))))))))((((((()))((())())(()())()))()))((((())((())))(())(()))(((()()))()(((()))(()(()))())((()()(((()()((()()((()))))())())())()))(((())))(())))(())()()()(),16,0
())(()((((()))))(())()))()((()())))(()((((()()()((()((()())())))()()((((())())(((()()))((()()))()))()()(()((()())()())((((())(()(((())(((()((((())))()(()(((()(((()())((()((()(()())(()()))()(()))))(((()(())))(())(()(()((()))(()((()()((()(((((((()(((()))())((((()))(((((((()))((()(()((())(()()())(((((((())(()()()(((()(()()(())))(())(((((()))((()())(()))())(())((((((((())(()))((((()()((((()))())(()()())(())))((((((()())())))((()())()(()(()())()(()()(()(()(()((((((((())(((()())())))()(()(())))(()()))))))()()(()(,-1,76
((())(()))(((())))()()(()())((((((((((((((((((((((((((((((((((((((((((((())(()))))(()(()))(()(()(()))(((()))((()()))((()())()(()())()))))))(()()())())))()()(())())((()())((())))((()(())()))())())(()())((((()(()((()((((((()())()(()()()))))()())())(())))()(((()(()((())())))())()(((()(()()(()()))())))()())(((()())(((()(((()()()))())((())()()()()(()))(()))(((())()(()())()()(()(()())()(()()()()()()))())))()(())())((())()())))(()(())))))()()((()()))(()(())(())()((()())))(()((())))))))))))))))))))))))))))))))))))),45,0
(((()))((()())))(()((()))((()(((()()(())(())())))))((()())((()()()(()()((())((())()))(())())((((((()))(()()(()())())(())(())()()((())(()(()))(()))))((()())))(()())))))(((())())))(()()(())(())())()()()()((((()(((((((((((((((((((((((((((((((((((((((((((((()()())(()()()())))(((()()))(()(()()()()()())(())()(())(()()())())))()(()((()(())))))())(()(()))(()))()())()))(((((()((()())()()))()()(()())()))()(((((((()())())(())())())()(((((())(()()()()()))((()())()()(())())))))))))))))))))))))))))))))))))))))))))))))))),50,0
(()(()))))()()())))()((((()()))))(()())(()()()()))(())))((())))()(()())()()(((((()()()())(()())(()))))))))(())))(())))))))(())()())(((()))())))))))()()())(()())))()())((())()(())))))(())(()()())())))()))()()())()((())()())(((()((()))((())(()()(()(((()(()())()())()))(()))()()()())(())()))((())((((()))))))(((((()()()())))(()()()(((())((())((()(())))()(()())((((()()))())(())()())()((()()()))()(()))())(())(((())(((()))()()()))()(())))()()())))()))))((()())))(())))(((())((()()()()()())()()))(((()(())))))()()(()),-3,-46
()(())((())())()(())()(((()(()()(()())()(()))))()())((())((())((()))))()()(())()(()(()((())((()()()))((())))()((()))()))()(())()()(((())(((()))(()(()()))()())(())))()(())(()()((((()())(()()()()())))(((())))((())()()))()(((())((()))())(()()))(()(((()()))())(((())()()(()()())(()())())()()())(((()()))()))())((()()()((())(()()()(()))()((())(())))))(((())(()))(())((()))((())(()(()()(()))(()))))((()())(()))()()()(()((()))((()()((()()))())))(()())()()(())()()((((()(())))))((()()(((()))()))(()(()))(()())(((())))()),6,0
()()))(((())((())((())(()((()(())())(()(()))()((()())))())((())()))()))))))()((()())()))())))))))))))(()())())(((()((()()))())(()())(()())))((())()())(()((()))))))))((((()))((()()))(())(((()())()(((()))))))))()())((()()))())(()())((()))())()))))))))())))()))))(()()())()()()(())(())))((((((()((()()))()((())()((()((())(()))()())()))()))()))))))()(()(())))))(())(((((((())()()())))()()(((())()())()()(()(())))(()))))((()))(()((()(((()))())()())(()))()((())(((()()(()())(()())()())(()(())(()()())())(())())))((()(),-1,-46
())))())()())))))))(()))())())((()((((())((())()(()(()()))(())()()()((((()))())()))(())((())))))(()))()((()(()(())))(((((((((()()))))))()()(((()))()(()))())())(()))))))(()(())))))()()))())())(())(())()()))()()((())(()()(())()(()))))((((()(())(()()()(()((()))()())))(((()))((()(()))()((()()(()))(((())))()())))))()())(())()()())))(())()))))(()))((())())(((()(()())()))))()())))()())()))(())))((((()))((()()())))))()))()))(())((((((()()())))))))(())())())()((()(()))(((()()())())())(()))))(()(()())(()()(()(()))()),-1,-52
(()))()(()(()))))))()(()())(()(()))()))()()((((()))))))((()))(()(()())))())(())()())((()()())))))()))()))(()))())()()))(())()(())))()))()()()(((()((((()()()))(()())))))((((((()(()())(())))(()()())(((()()))())))((())())()(())())((()))()()(())))(())))((()))())((()())))()((()))()()))()()()()))))))()()(((()()))((()()))(((())))))())(()(()(()((()())())))()()(((())(((()((()))())))()))())((()))()()())()))))(()))()((((()())(()))())))))(()))))(())()()()()()((()(())))((((()()()()(()))((()()))((())(()(((())))())))(()((,-2,-48
(())))()))()()(())(()))())(()()))()())()(()(())())((((())((()())))((()))((((()()))))))))))()(())()()())))))()(())()(()))()())))(()(()(()(()))(())(())()()())(()()(())(())(()(()()))()(()(())())(((((()()()()))()(()(()))(())()(()))(()))((())((())((()(()()()))))()()))))()())))()))(())())()))))((())((((()(())())((())(()((()(((()))())))(())))))))((((()())()())))(())))))))(())))()()()((())(())))((())((())()(())((())((((((()()()())(())()))()()()()())))()((()))())()))()((())))(()(()()))()))())((()(()))()((()))))((()),-2,-44
()()((())()())()((())())(((())((()))(())(()))()((()()()()((((()((((())(((()(()(()())()(()))(()))))()))))))(()))((((()()()()((((())))))))((()()()((()(())((()())))))()))())((((((((((())()(())())((()()(()(())()()((())())())()(()())()(())()((())))(())(((()))(())()()(()()()(()())((()())())((()()))())(((()())))))))))(())(())(((())(()()()()((())((())()(()())())))((((()()())())()(()(()(()((()))()))))())((())))(()))())((()))(((()))((((((((((((((((((((((((((((()()()())))()()(((()())()))))))))))))))))))))))))))))))))),35,0
()()((()))()()()()()((()(()())(()))((()(()()()))))()(())(()(()())(()((((()))))()()(())()(()()(()()))))((())(((())(())()())()()()()))(((()((()())())))(()(((()))()(()(()(()()(()(((()()()()))(((((()()()())))(()())(()()((()))())()))(())))))))((((((()())(((())()))()))))(())()(()))(()))(((()(()()((()()(()())))))))((()))())(((()((((((()))(()()(())))(())((((()))())(()(())((()(())(((()()()())(()()))()(()(()())(())(()()()()()()())(()()()()()()()()()()()())))(((())()()()()))())()())())))((((()((()))))())(())()())))))),14,0
(()())()))))(()())(((()((()(((()(())((())()(()())))()()()()))()()()()())(()()())())()())())(((()))))(((()()(()(((()))()(()(()))((())))))(()((())((()(((())((())(())))(())))))(((()())))()))))())))))(())((((())))(()(()())))(()()(()(((()(((())))(())()()())))))))))))())))))((()())()()((())))((()))()))()(()((())((()()))))()))(()(((())((())))()))()()))))))(()))((()))(()())))(()()))))()))(()))(())((())(()()()))()))))(((())(((()((()())()))()))())((()(()))(()))))(())((()()))))))((())()())(())()()(())(())())()()(((()(,-2,-46
()()())))(()(((()()((())))))())((((()())(()))((())(()()((()((())())()))))()()(()((((())()(()(())))))()()())()))))()(()((()))()))(()(()))()))())())())))((())()()())(())))))(())(((((())(()()(()())(()))(((()(())))))((()(()(((((()())()(((((())()(()(((()())()())(()((()))((()(()()()(((((()())(()())(()))))((()))(()())((((())((()())))())(((((((()(((((()(((((()((())((()(((((()())(((())))()())))()()))()()()))((((())()((((((())()(())()()()))(())())(((()())()(())(()(((()))()((()((()())(()(((((()))))(((()))(((())()((()(,-1,42
(())((()))(((()(()(())))))((())((((()((()())))()()))))(()()(()()())((()()(((()))((()())()(()(()))))((((((()()(()))))()(()(()()(((())(()())()(()()))()(())))()()))(((((()()(())))()(((()))())())()))()()((()()())()))))))(((((()(((()(())))(())()(())()()()())()(()(()))))())())((()))())(((((())))())((())())()())()()()()()()(()())(((())(())()(()((()(()()(())(((((()()()()))())()())((())))()(()()(()()(()))))((()((())((()())())()))())(())())(()()())()))()))(()((())((()()(()(((())))(((()(()(()()(())())())(())))())))))),12,0
()((((()))))(()((())()(()(())(()))()((()()()))(())())())((()(()))()()())()(())()()(((()())))(()()(((()()))()()))()((())()(((()()()()))))()((())())()()((()()((()()))())(((()))((())())((()))((()())(()))()((())))(((())()()()(()()()())(())))()(((()))()))()(()(())((()(()())())()()(())(()(()()()()))))()()((((()()())(()())))())()()()((((()))))()()()(()())(((())))()()(())()((())(((()())(()))(())))(((()()(()())))(()()))()()(((())()))()((()())(((()()())(()())(()))))()(((())))()(((())(()(()()()())()))()(((())()))(())),5,0
()())((((())()))(()()))(((())(((()()()()()()(((()()))(()((((((((()()()(((((((()(()((()))()((((()(((())(()))(((((()()((())())()(()))(()()(((()()))((((((())())))((((()()())((())((())((((()()(())()))(()))(()(((())())()))()))())(()))()(((())))())()(())))(()())((()())(()))))())))((())()((()()(()(()(()))()(((((()(()(((()(())()))()((((()((()())()))(())))))(((()(()))((((((((()()(())))((((((((()))))()))))(()(()()())())())(((()(((((()))()((()))(()()))(()((((()())()()(((())(((((()())((()(())(()(()))))(((()((())())(()(,-1,66
())())((())(())())))))())))))(())(()()))))(()(()())()((())()))())((()((((()(((((((()((()(()(()((()((()(())()))((((((((()))))(()()))()))(()(((())()()))()()()()))())))((())((((()())()()((((())()(()((())(()()(((()((()))())(((((()(()(((((()(()))((()(())((()()))((())(((((())))(())))(((()(()))()())()(()((()(()((()()))(())(()()()()(((()(((()()(())((()(((((()()(())))(((()(())()(()(()()((()()((()())()()))()()))(())((()()(())()(())))((())(()(((())(()(())((()(((((())()))())())())))())(())((((((()))(((((((()())())))(((,-1,60
(())(())()(())((()))()()()()()()()(())((()))()(()()(()()()()))(()(()))((()))()()((())()(()))(())()()()()()()((()()()()()))(()(()()()))()(()())()(()(()))()()()(()()(())()(())()(())())((()))(())()()()()((()()()))()(())(())()(()(()())(())(()())()(()()()()()))(())()()(()())((())(()))()(())((()()))()()()((()()()())()()(())()()())()(())((()())(()()()()())())()(()())()((()()))(()()(()))((()())())((()())(()))()()(()(()())()(()()))()()(())(())()()(())()()()()()(())()(())()()((()))(())((())(()())(()()())(()()()()))(),3,0
