sequence,stack_depth,count
()()()()(())(((()((()()())()()(())(()()))())))(()(())(()))((((()(())))()()()))()(())()(())()(())()((()))()(()())()(())()()(((((()))(()))()()())(()(((((())(()()))(()((((((()()))))(()))))())()))()))()((()))()(((())(())()))(())(()())((()()))(())((()(((())))((()((((())(((((()(()(()(()()((()((((()()(())()(()()((())()))(()(())))))())(()))(()())(()()()))(((((()()()())()(((()()))()()))))((()(()(()()(())))())()()))())()))))(()))))(()())((()()()(()()))()))(())))())(((()())))()())))()((()()()))()()(()(())())()()((())),25,0
()(()(()(((((()()()())((((()))(())())())()((()(())))())((())()(((()(((((()((()))())(()))))))(())((((((()(()))((())(()())(()))()()((()(())()(())))())())()))(()))()((((((())()(())))())(()(((((()()()))()(((()((()))()())))())())()(()((()()(((()(()())()())())(((((((()()))((((()((())(((((()()(()(())()))(()(()()()((())))()()()))(((()))))))))(())(()())(())))()(((((((())())()()())()()()(((()))))((()()((())(()()))))((())))))))()()))((((()(()()()))(((()((())))()(((((((((((((()()()())))))))))))))))))))))))))))))))))))),37,0
))()())))()())()((((())))()((()()()))()())))))((()()()))(((((())))(()(()()((()))()()(())()(())())((()))(()()))()(()())()))(()()()))()))(()))))((())((()))(())))(((()(()())()()()))()(()())))))()))(())()))))(()(()()()(()))((())((()(()((((((((()(()()((()))(((((((((()())))))(()()()()(()()())())))))()()()(())((()()))())())()())()))(()()))((())()((()())()()))()()))(())(())(()(())))())((((()))))))(())()((()(())(()(((()(()(()(()))()()())()))())))))(((()(((()()))()(()()(((((((((((()()())))(())(()(()))((((()()(((((()(,0,-2
(())(()((((((()))))()(()()(()()()(())((()(((()((((((()()((()((()((()(())))))()()))()()()))()()))()()(()(()())(())((((()()))(((()()(()(()))))))())((()))))(())()))((())()((())(()()(()(())())((())(((((()()))))(()()))))()))(()))()()((())(())()((((((()))))(())(()((()((()))))()(()())())()))(())((())))()())(())(()))((()))((())())))())())()((()(()()))()()((())))))(()((((()))))))()()((()())))(())))))(()))((((()(()))(((((((())())((()()(()(())(((()())((((()))((((())((()))))())()(()()()())))(())))))()((()()()(()))())(),-24,2
(()))))(()()(()()()()())))(((()())()()(()(()()((((()())())((())((((((((((())((((()(()()()()())((()()(())())()))))))((())))))((((()))((()())))())(())))()()()))))(())))())))))())))(((()((((((())())()))(()))()(()))()()))))(()((((()()((())()(()(((((())((()(())())))))(())(((())((())((()(())())))())())())(()((()()))()(()((((((()))))(()))(())())(((()((())(()()())(()))()()(()))())))()))))))(()()(())))))(())))())()()))()((()()()()))))()((()()((((()))()))))((()()((()(())((()((()()()((()()()))((()(((()))((((()))(((()(,-2,0
)())()))())(())())())(())(((((()())))()(()))))(((()((((()(()())()(()()))))()))()(((((((((()(()()()()())((()(())((()(())())())))((()))(()))())())()))())(()((()))(((()((()((()((()()(()(()(()))(())((()(()(()((())((((((((()))((()))()))()(((((()()()(())()(()(()()()()))))(()(()()((()()()(()()((()))(())()())()()()((((())))(()())()))))(()()((())()((()((()))(((()((((()))))()((())()())))())())(()())()(()())(())(())((((()(()()()))((()((()(((()((()()))((()))))))()))()()(()(()()(()()())))()))))(()))()()())())((((()))()(,0,24
)))))((()))(()()()()(()))))()()((()())()())))))())))(()(()(()(()))))()()())()()((()())())()(()))()((())()()(()()()())(()()()))(()(())())(((()(())())()))((((())(())())())()(()()()()((()))(((()))((()))())()))))((((()((())()))(()()))(()((()))((((())))))()((((((((()(((()))((())))((((((()(())))())())()(())(())))()))(()))()()(()(()()()(())()())((((((()))(()(())()()())(()()())(()))(((()))()(())))((()((()(()(())()(())()(())(())))(((()(((()))))(((()))(((())(())())(())((((((()()()))()))))(((()()()))))(())()()(()))))),0,-6
()(((())())()()((())((((()(()))(()())))())()))(())()()()(()(()()((()(((((()(((()()())((()(()()())()(())((()(()))())(((()())((()((()()()(((((((()))())()((()))()(((())(((((())(((((((((())(()(())((()())()()()((()(((()(((())))())))()()())))(((()(()()())))()))()(()())()())())))()((()())())))())(())()))(()((())))))()))())()()()))))))((()()()))(()))))((()((())())())(())))(()))(()(()())(()())))()))())())(()))))()()(()((()(()(((()()()()(()))()()((()()()()))(())))())((((((()))())(())))()()((()(()())())())(()))))))))),48,0
())))))(((())())()))(()))))())()))()())((()))(()(((()()()(((((()))(())(((())(())))())((((()))))()))((()((()))())(()(())()(()(()(())())()((()())))()()(()()()(())(((()(()(()))()()()((()())))))(()(()(())()))(((((()(()((((((()(()())())())(((()(()())))))()(())))(((((()())))))(((((()())))())()()()()(()))(()()()()(((((())()()))))))()((((()()((()((((()))))(()))()))()()()(()))(())((((()((()((()(((((()((()((((()()()())())()(()()(())))())))))))()()))((((()))))(()))((()((()(()()(())()))))(()()()())))))((())))())())))(),-1,0
))()())()()())())))(()())))()((()((()()(((())))(()))))(()((((())(())()(())())))(((())((())()())(())())(()())))()()(())())))(()(()()))))(()(())))(((()((()))()))(()()(())()))))(()()()()(((()(()(()))((()))()))(())())()())))))(())()((()())()(()(()))())()((()()(()())))))()())))((()()(())()((())((((()((()(()())()(((((()())(()))((()(())))()())(())(())))((((((())())()))))()))(()(()())(((((()))))))()))((((()))))))()((((((((()(()))(())(((()(()()(()))()()(((()(()()()()()))())(((()()))(())(((())()()))(())(((()))((((((),0,-4
((()(())))(()())(((((())(()))())(()(()))))()(())(()((((((((()()((((()())(()))((()(()))(()))()))))()()()()()(((()()(((())())))()((()((((((()()()()))())())))))(())(((()(())(())())()(()))))))())(((((()))())()()()((((()))(())))))(()((())()))()))(()())))()((()()(()(()()))))(()()())((()())))()()()((()(()(())(()))))()((())())((())()(()((((()))(((()(())())(())((()(()))(()))(()()))((())()))()(()()))(()()((()(()))((()()())(()(())())(())))))))(())()()(((())((((()())))(()))(()(()()))((((()())))()(())()((()()(()())))))),18,0
()()(((()(((())))(())))()(())((())((()()()()()()(((())()((())())(()())()()(((())()()))()()())(((()())))))(()(((())(((((((()())())))(())))()()((()()(())(())((()))()((()(((()(()(((((()(()))))((((((((()()((())()))())())(()())())()()(((((((())()))(()()((((()()()((()()))))))))(((()))(((((((()(()()))))((((()())))((()()()()))((()(()(()((())))())((()())()()(((((()()()((())))))(()()))(()((()))())())))()))())))))(((()()()()(()((()(()()((()(((())()()((())())()((()()(())(())())((())))))))))))))))))))))))))))))))))))))),41,0
((((((()))()())(())()))))))))))((()())))(()))()))))))())())())))))()))()))()))((((((()(()))()())))())))()(()))()))(()()(()))())((())((())()(()(((((())()()())))))((((((()())()()((()))((()))))())((()()))))((())((((((())((()(()))(()((())()(()((())(()(())))(()()))(()())(()))))))))()((())()()()))((((((()(()())))()))(()((())))()())()()(()())())))))()()))))()))))))()())()))()(()(())()())))((()(()))(()))((((())())()()((()()(()(((()))()(((())()()))()((()((()(((())())())((())(()))((()()))())()())(()())(()()))(()))))(,-7,-44
(()()())(())((()))()()()(()(((()())()(((((()))(()))(()(((()((((())))(())))))(()))(((()(())()(()))))()(((()()()())((()(())(()(()))())(())()()((()((((())(((((()(((()((()())))(())((()(((())(()())((()()))(())(()(((()(())))(())))())()))((()((()))))(()())())))((())())()())()()))))(()())(()((((())(((()(()()())()))(()((())()))(()()))))()(()())(())()()()))()())()()()(())))(()))))))(())()())(((())())))(())())()()()()(((()((()()()()()(())()))())()((()()()(()())()))()())))())((()(()((()))()((()()()()()(())(())(())))))),30,0
()(()())))(((())(()((()(())))(()())))))(()()))()())())))((())(()(()(()())(((()()))((())(((((((())(()(((())()()))()()(())((((((()((())(((())(())()()))()(((())())(())()()()()))))))()())((())((()())))((()()((()())(()((()))(())()(()(())((()))(()())))((()((((())(()()()())))((((())()()(()(()(((((((()))(()()())(()((()))))()(()()(((((())))))))))(()())()((())()))((()()((((())))))(()(()(())(())((((()(())((((()))()(())()(())(()(())((((()))()(()())()))))()())())()(()))((())))())()))((()((())()))()(()()((()()))))(((((((,-2,24
()((()((((((((())((())()()())()(())()(()((())(((()))(()((((()((((()(()(())()())())))())(((())))()(((()((())(())((())(())))(()(()()(())))(()()((()))(()))(())(()(()(()(()(())()()()((((()(()(())((((()((()()())())(()((()()()(()))()((((((()(())()()()(()((((()(((()())((((())(()()))())(())()((())))((()())((((((())(())()()((())()()))()((())((((()(()(()(())(()))())))())(())(((((()(()(((()))(()())())))))()))(())())(((())))(()(()()()(()))()(())))(()(((()()()))())())))))))))))))))))))))))))))))))))))))))))))))))))))))),65,0
()()()(((()(((()))())(()((()())))()((((())))))(())(()))())(((()()()((())())))((()()))())((((())(()))()())()(())(()))((((()()()((()(((()()(((()(((())(()))(())((()()()))())))()(()(((()()((()))())((())()())(((()))())()()))()((()((())()()))))())()))())))()((((()(())())((()(()(())))))))()(((()(((((()())))))(((()()))(()))()())(()()()()((())((()()()()()((()()))))((((())))))))())()))((())))())()()()(())()(()())((()(((((())(())(((())(()()()()(()()((()())((((())())())()()))))))(())()())()()))(()((()))()()(())()())))),17,0
()()((()(()))())()()()((()(()((())(())))())(()(((())())(()))())()(((()((((())))()()))()()())(())))((()()))((()()((())((())()(((((()((((()))))()(()())((()))(()))))))()(((((()(())(())))(()()(()))((())()())((()()(()()(()(()))(())(()(()())(())()())())))(()()())))())))()()()(()((()))()((((((()(())))(((())))(()))))(((()(()(()())()(())))))(()((()(()))(()(()())))))()()())())()())((((()))(())())(((())()((()(((()(((())(()())))())())(((((()()())()(())))))(()()))(((()))(((()((((()((()))((()(((((())))))))()))))))))))))),21,0
()()))())()))))()(())(((()))()(()(()()))((())()))((()(((()())())()))()()()))(())(()(((((((())))())(((()))()()(()()())((((()())(()()()())()()()))(((()((()()(()(()(()))()))(()()())(())())()((()())((())(((()((()()(()())(()())()()()()((())()(()))())()(()())(()))))()())(())()()((()()(())))())(())()((()))()))(())((())()))()()((()()())())((())))()())()()((()()))))((()))(((()))((())))))()(()()())(()))((()(())((()((())))())((()(((((()()(())(())(((((())()(())()))))()))())))(())))((()(((()))()())))(((((())()))(((()))),-1,-4
)((((((()()()))((())())()())(()((()()(())(()()))()(()))()(((()))(((((()(())())(())()(())(())()))()))((((((()(((()((())))(()()()))))((()))(((((((())())(()()())((()())())(()(()((()(((())))))((())((()))))))()))(()((((())()(((()))((())((()(()))()((())(()())(((())))(()()(())()(()(((()))(()(((((()(()))))((())))()())(()()())()(((())()))()()))(((((()()(()))(((((((())(((())((()))((())(())()()(()())))))()(((((())))()))()(((()))()))(((()((()))(())))))))()(((((()()()))))()(((((((())))))))()(((())(())()(())))(()))((()((,0,30
(())))()()()))())())(()()())((())(())))((((()))()((())()())()()))((()()()((())((((())))((()))()))))))(()))))()((()(()((((())))))()()()))()((()))(((((((()())))(()())(()))(()))(())(()()())()(((()()())(())()(((()()(((((((((()))))()((()())(((((())(((()()(((())()())(()((()))()))()((((())))(((()))()(()))())()))))))))(()()())((()))()()()))())())(())()()((())()()(())(((()())())(()()))((()((()))(())()((()))()()()))()()((((((()((()(()))(((()((())(()((()())()))((()))()()(())))())()()()))())))))))((()(()()()(()))(()()(,-2,0
((()))()(((()))(((()()()))))()(((())))((()(()()()()())()(()((((())(()))(()()())(())()(()(()))())(())))))()()(()())(())()()()()()()()(()()())(())((((()(()()(())))()))(()))(())(((()((())())(((((())()((()(()(((()()()((((()()))()())))(())(((()(((()(())())((())(()))((())()()())(((())(()))((())))(((())(((())))))))())()))()))())(((()()(()())(((()()((())))(()))(()())(((((()((()()((()()()(((()()(()()(()()()((())))((()()(((()))((()(()))((((())))()()(()()()))()((((((((((()((())))))))))))))))))))))))))))))))))))))))))),43,0
(())()(((((()))()())()()(())(()()((())(())((((()()))())()(()()()()())()))())()()(())()(((())())(()((()()(()(((()()))((()))()(()((())))())))((())()))(((())(())))))))()()()(())(())(()(()))()()()(()())()((()))()((())(()))(())(((())))()()(())()(((((((()()))()(())(()(())((((()()())((()())))()))))()))))((()))(((()())))()(((()())(())))(((()(()))))()(())()(((()))())()(((()()()(((()))((()(()))(((()(()()(((()()))((()))()())))())()())()())))()()(()))(()))(())(()(((()((())(())()))(((()())))(()((((((()()(())())))))))))),13,0
((((())()((()))(()())(()()))((((()()))()()))()))(()(())())((())((()()())))()()()()()()()(((())(())())(()))(((()())())(())())()()(())(((()(()((()()(((())(()()(())(()()()))))(()((()))((((((((((()(()))(())(((()(())))(())(((())(())(()(())((())(((()()))(()((())()())((())()(()((((())(()()()())(()))((()())(())))))(())(()()(()(()()())()))(()(()((((())((()())(()())((()((()()()((()(())((((((()))(((()())))))(()))(()))())))()(()((()(()())()(()()(())(())))))(((()(()(()))()((())(()())))))))))))))))))))))))))))))))))))))),44,0
()()()())())(((())()(()(()))()((()))))))()()()(()))(((((()())(()())((((((()()))))()())))()((())))(())))()(()))(())((((())(()(())))(((())(()(((()())()))))))((())((()()())(()()()))())(())))(()())))(()())())())((()()(()())))()((())())((()()(())()((())))()()((()))(())))()()((())()(()())))())()))))())))((()))))()((()())))))(((()())))(())))()))(()()(()())))))((()((((()(()((()(()()((()())(()())(())(((()()()((()()))))()()(()()()))()))(((())))((()(())())()())))())))))((()))))(((()))()))(()))(()(())(()())()))()()(()),-1,-36
((())())()((())((()()((((()()))(())()())()(())(((()()((()())()()((()()(((((()())((()((((()(((((())()))))))()((((()))(((((()(((()())(()(((((())())()())(())())())())(()(((()((()))))))()(())()()(()(()()()()))))())))((())()()()(((((())()(((())())()()))(())))))((((()(())()())())()((()(((())()())(((())(((())((((()((()())()(()((()(())(()))()))))()()((()())()()()))()())))))())((((()())()(((())(()))((((()))))()((())(())()()(((())()()()))(((())()())()())(())(((()((()(()))((((())))))))))))))))))))))))))))))))))))))))),41,0
))(((()))(()(()(((()))())()((()(()))()((()((((()()))((()()))()((())((()())(())))())()(()()())))()((()()((()))))()(((()()))())()()))((()))))(()(((()()((((((((((((())())))))(()(()(()(()(()()))(()((())((())()))(()()())))()()()(((((((((()()()())(()()(())))(((()(()()(((()(()))()(((())()(((())()))))(())((()(()((())(()(()(())())))((()(()))())()())))))()))()())((())))((()(())(()())()(()((())(((()))))(())()(())())(()((((()))()))())()))(()(()()((())))(()()()()()(())((((()(()))))()(()))())()()(()()())((()((())((((()((,0,28
()))(())))))())(())))()(()())()((((()(((()())(()()((())())()(())()))))(()()(()()()((()(()))(((()()(()))())()()()())))))))())()()()))))(()(()(()(()(()())())))))()))(()())()))()(((())))()())))))((())()))((()))()((())(((())(()((()))())(((())(((()())())())()))))()))((()((()))()))()(((()))()))))(()(())(((((())(()()((((((((((())(()())((()(()(()()))))())()(()()))()()()))))()((())))()))(())(()))()(()((((((())())((((())))))((((()))()()))()()()))())(((((()(()()))))((()(((())(()(()))))(((()())())))()())()())())()()()(,-1,-22
))()()())))()())())(((()((()())()())()(())()()()((((()(((())())(()()((()()))(()())((())))((()())((())()()))()()(()(())())()((()())((()()(()()(()())(()))((()(()(())))(())()())()())((()()()))(())(()()(()()((())((((((((((()()((((((()((((()))(()()()))((((())))()(())))(()(()))()))(()()())(()((()))(())((())()((()()))((()))((((()(((((())))())(()((())()(()(()()())))((())(())))))))((())((()((())((()(()))())))()(((())()()))(((()()(((((())((((())(())(()(()))()())(()((())))()(()((((((())())))(()(()(())(()()())(())((()),0,40
)()((()()))()(()))())(((()()(()(()))()((()))()()))))))())(()()((())())(()((())))))((()()))))))((())())))()())(()()()()()()(()()(())(())()((()()())())())))((()()(())())()(())(()))))((())((())())()))((()(())))((((()))))())((((())(()))(((((()))(((((((((()()()))))(()()(()))()))))((((((())(()))))()())))(())()())())(()()()())(((())(()(()(((())()(((((((((())))(((())))()))(((()))())()((((()(())()()())))()()((()(()(()))))()()()((())((()()()))(()))((())()()))()())()()))))))())((((()(())))(()()))())((((()((((()())()((,0,-6
((()(())()(()((()(())))((()))(()((()())))((((())))()))))()())())(())()))(()(((((())(((((((()(()()())()))()()())(()()))())))(()(((())))))))))))(((((((()())(())))())())((()(()(()))()))(()((()()(()(()()()))())(()()())()))()((()(((())()((((())(())))(((()()(()))()(()((()(()((())(())()()(()((())(()()(()()))()()))())((())))(())())(())()))()))(((((()))))((()((())())((())())())))))()(((()())((()(())()())(()())(()()()(()(()(((()))))()))()()((())()())(()))()))((()((()())()()())())(())()))))())(())))(()()()))()(()()(((,-8,-4
