String_1,String_2,Language
1ddddddddddddddddddddddddddddddd,dddddddddddddddddddddddddddddlll,1d*l*
1ddddddddddddddddddddddddddddddd,ddddddddddddddddddddddddddddddll,1d*l*
1ddddddddddddddddddddddddddddddd,dddddddddddddddddddddddddddddddl,1d*l*
1ddddddddddddddddddddddddddddddd,dddddddddddddddddddddddddddddddd,1d*l*
zydddddddddddddddddddddddddddddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyddddddddddddddddddddddddddddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyydddddddddddddddddddddddddddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyddddddddddddddddddddddddddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyydddddddddddddddddddddddddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyddddddddddddddddddddddddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyydddddddddddddddddddddddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyddddddddddddddddddddddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyydddddddddddddddddddddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyddddddddddddddddddddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyydddddddddddddddddddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyddddddddddddddddddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyydddddddddddddddddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyddddddddddddddddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyydddddddddddddddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyddddddddddddddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyydddddddddddddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyddddddddddddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyydddddddddddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyddddddddddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyydddddddddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyddddddddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyydddddddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyddddddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyydddddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyddddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyydddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyddd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyydd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyd,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,dddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yddddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yydddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyddddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyydddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyddddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyydddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyddddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyydddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyddddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyydddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyddddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyydddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyddddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyydddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyddddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyydddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyddddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyydddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyddddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyydddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyyyddddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyyyydddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyyyyyddddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyyyyyydddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyyyyyyyddddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyyyyyyyydddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyyyyyyyyyddddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyyyyyyyyyydddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyyyyyyyyyyyddd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyyyyyyyyyyyydd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyd,zy*d*
zyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,zy*d*
kzdddddddddddddddddddddddddddddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzddddddddddddddddddddddddddddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzdddddddddddddddddddddddddddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzddddddddddddddddddddddddddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzdddddddddddddddddddddddddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzddddddddddddddddddddddddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzdddddddddddddddddddddddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzddddddddddddddddddddddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzdddddddddddddddddddddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzddddddddddddddddddddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzdddddddddddddddddddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzddddddddddddddddddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzdddddddddddddddddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzddddddddddddddddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzdddddddddddddddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzddddddddddddddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzdddddddddddddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzddddddddddddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzdddddddddddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzddddddddddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzdddddddddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzddddddddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzdddddddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzddddddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzdddddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzddddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzdddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzddd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzdd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzd,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,dddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zddddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzdddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzddddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzdddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzddddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzdddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzddddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzdddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzzddddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzzzdddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzzzzddddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzzzzzdddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzzzzzzddddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzzzzzzzdddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzzzzzzzzddddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzzzzzzzzzdddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzzzzzzzzzzddddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzzzzzzzzzzzdddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzzzzzzzzzzzzddddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzzzzzzzzzzzzzdddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzzzzzzzzzzzzzzddddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzzzzzzzzzzzzzzzdddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzzzzzzzzzzzzzzzzddddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzzzzzzzzzzzzzzzzzdddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzzzzzzzzzzzzzzzzzzddddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzzzzzzzzzzzzzzzzzzzdddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzzzzzzzzzzzzzzzzzzzzddddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzzzzzzzzzzzzzzzzzzzzzdddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzddd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzdd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzd,kz*d*
kzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,kz*d*
k0hhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k00hhhhhhhhhhhhhhhhhhhhhhhhhhhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k000hhhhhhhhhhhhhhhhhhhhhhhhhhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k0000hhhhhhhhhhhhhhhhhhhhhhhhhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k00000hhhhhhhhhhhhhhhhhhhhhhhhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k000000hhhhhhhhhhhhhhhhhhhhhhhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k0000000hhhhhhhhhhhhhhhhhhhhhhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k00000000hhhhhhhhhhhhhhhhhhhhhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k000000000hhhhhhhhhhhhhhhhhhhhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k0000000000hhhhhhhhhhhhhhhhhhhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k00000000000hhhhhhhhhhhhhhhhhhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k000000000000hhhhhhhhhhhhhhhhhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k0000000000000hhhhhhhhhhhhhhhhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k00000000000000hhhhhhhhhhhhhhhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k000000000000000hhhhhhhhhhhhhhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k0000000000000000hhhhhhhhhhhhhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k00000000000000000hhhhhhhhhhhhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k000000000000000000hhhhhhhhhhhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k0000000000000000000hhhhhhhhhhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k00000000000000000000hhhhhhhhhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k000000000000000000000hhhhhhhhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k0000000000000000000000hhhhhhhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k00000000000000000000000hhhhhhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k000000000000000000000000hhhhhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k0000000000000000000000000hhhhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k00000000000000000000000000hhhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k000000000000000000000000000hhhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k0000000000000000000000000000hhh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k00000000000000000000000000000hh,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k000000000000000000000000000000h,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k0000000000000000000000000000000,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k0000000000000000000000000000000,0hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k0000000000000000000000000000000,00hhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k0000000000000000000000000000000,000hhhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k0000000000000000000000000000000,0000hhhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k0000000000000000000000000000000,00000hhhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k0000000000000000000000000000000,000000hhhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k0000000000000000000000000000000,0000000hhhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k0000000000000000000000000000000,00000000hhhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k0000000000000000000000000000000,000000000hhhhhhhhhhhhhhhhhhhhhhh,k0*h*
k0000000000000000000000000000000,0000000000hhhhhhhhhhhhhhhhhhhhhh,k0*h*
k0000000000000000000000000000000,00000000000hhhhhhhhhhhhhhhhhhhhh,k0*h*
k0000000000000000000000000000000,000000000000hhhhhhhhhhhhhhhhhhhh,k0*h*
k0000000000000000000000000000000,0000000000000hhhhhhhhhhhhhhhhhhh,k0*h*
k0000000000000000000000000000000,00000000000000hhhhhhhhhhhhhhhhhh,k0*h*
k0000000000000000000000000000000,000000000000000hhhhhhhhhhhhhhhhh,k0*h*
k0000000000000000000000000000000,0000000000000000hhhhhhhhhhhhhhhh,k0*h*
k0000000000000000000000000000000,00000000000000000hhhhhhhhhhhhhhh,k0*h*
k0000000000000000000000000000000,000000000000000000hhhhhhhhhhhhhh,k0*h*
k0000000000000000000000000000000,0000000000000000000hhhhhhhhhhhhh,k0*h*
k0000000000000000000000000000000,00000000000000000000hhhhhhhhhhhh,k0*h*
k0000000000000000000000000000000,000000000000000000000hhhhhhhhhhh,k0*h*
k0000000000000000000000000000000,0000000000000000000000hhhhhhhhhh,k0*h*
k0000000000000000000000000000000,00000000000000000000000hhhhhhhhh,k0*h*
k0000000000000000000000000000000,000000000000000000000000hhhhhhhh,k0*h*
k0000000000000000000000000000000,0000000000000000000000000hhhhhhh,k0*h*
k0000000000000000000000000000000,00000000000000000000000000hhhhhh,k0*h*
k0000000000000000000000000000000,000000000000000000000000000hhhhh,k0*h*
k0000000000000000000000000000000,0000000000000000000000000000hhhh,k0*h*
k0000000000000000000000000000000,00000000000000000000000000000hhh,k0*h*
k0000000000000000000000000000000,000000000000000000000000000000hh,k0*h*
k0000000000000000000000000000000,0000000000000000000000000000000h,k0*h*
k0000000000000000000000000000000,00000000000000000000000000000000,k0*h*
9k999999999999999999999999999999,99999999999999999999999999999999,9k*9*
9kk99999999999999999999999999999,99999999999999999999999999999999,9k*9*
9kkk9999999999999999999999999999,99999999999999999999999999999999,9k*9*
9kkkk999999999999999999999999999,99999999999999999999999999999999,9k*9*
9kkkkk99999999999999999999999999,99999999999999999999999999999999,9k*9*
9kkkkkk9999999999999999999999999,99999999999999999999999999999999,9k*9*
9kkkkkkk999999999999999999999999,99999999999999999999999999999999,9k*9*
9kkkkkkkk99999999999999999999999,99999999999999999999999999999999,9k*9*
9kkkkkkkkk9999999999999999999999,99999999999999999999999999999999,9k*9*
9kkkkkkkkkk999999999999999999999,99999999999999999999999999999999,9k*9*
9kkkkkkkkkkk99999999999999999999,99999999999999999999999999999999,9k*9*
9kkkkkkkkkkkk9999999999999999999,99999999999999999999999999999999,9k*9*
9kkkkkkkkkkkkk999999999999999999,99999999999999999999999999999999,9k*9*
9kkkkkkkkkkkkkk99999999999999999,99999999999999999999999999999999,9k*9*
9kkkkkkkkkkkkkkk9999999999999999,99999999999999999999999999999999,9k*9*
9kkkkkkkkkkkkkkkk999999999999999,99999999999999999999999999999999,9k*9*
9kkkkkkkkkkkkkkkkk99999999999999,99999999999999999999999999999999,9k*9*
9kkkkkkkkkkkkkkkkkk9999999999999,99999999999999999999999999999999,9k*9*
9kkkkkkkkkkkkkkkkkkk999999999999,99999999999999999999999999999999,9k*9*
9kkkkkkkkkkkkkkkkkkkk99999999999,99999999999999999999999999999999,9k*9*
9kkkkkkkkkkkkkkkkkkkkk9999999999,99999999999999999999999999999999,9k*9*
